?;Team;M;W;D;L;G;GA;PTS;xG;xGA;xPTS
1;Real Madrid;38;29;8;1;87;26;95;80.88;39.29;77.38
2;Barcelona;38;26;7;5;79;44;85;81.76;45.44;76.96
3;Girona;38;25;6;7;85;46;81;78.05;61.93;63.78
4;Atletico Madrid;38;24;4;10;70;43;76;69.83;43.46;69.85
5;Athletic Club;38;19;11;8;61;37;68;61.64;42.03;62.92
6;Real Sociedad;38;16;12;10;51;39;60;49.16;47.29;52.70
7;Real Betis;38;14;15;9;48;45;57;52.92;52.48;54.65
8;Villarreal;38;14;11;13;65;65;53;59.81;65.86;50.54
9;Valencia;38;13;10;15;40;45;49;45.13;52.33;47.96
10;Alaves;38;12;10;16;36;46;46;51.97;52.08;50.72
11;Osasuna;38;12;9;17;45;56;45;45.79;57.37;46.27
12;Getafe;38;10;13;15;42;54;43;50.28;57.65;46.29
13;Sevilla;38;10;11;17;48;54;41;53.53;62.99;45.55
14;Celta Vigo;38;10;11;17;46;57;41;56.39;60.06;49.77
15;Mallorca;38;8;16;14;33;44;40;41.73;47.56;48.45
16;Las Palmas;38;10;10;18;33;47;40;35.82;59.73;37.40
17;Rayo Vallecano;38;8;14;16;29;48;38;46.40;46.00;52.80
18;Cadiz;38;6;15;17;26;55;33;37.98;57.83;42.52
19;Almeria;38;3;12;23;43;75;21;49.90;71.85;38.28
20;Granada;38;4;9;25;38;79;21;43.58;69.31;35.89
